1	Gone with the Wind	MGM	$1,850,728,800	$198,676,459	1939^
2	Star Wars	Fox	$1,631,575,500	$460,998,007	1977^
3	The Sound of Music	Fox	$1,304,524,800	$158,671,368	1965
4	E.T.: The Extra-Terrestrial	Uni.	$1,299,385,700	$435,110,554	1982^
5	Titanic	Par.	$1,241,636,300	$659,363,944	1997^
6	The Ten Commandments	Par.	$1,199,960,000	$65,500,000	1956
7	Jaws	Uni.	$1,173,202,000	$260,000,000	1975
8	Doctor Zhivago	MGM	$1,137,080,800	$111,721,910	1965
9	The Exorcist	WB	$1,013,088,400	$232,906,145	1973^
10	Snow White and the Seven Dwarfs	Dis.	$998,440,000	$184,925,486	1937^
11	Star Wars: The Force Awakens	BV	$990,334,300	$936,662,225	2015
12	101 Dalmatians	Dis.	$915,242,000	$144,880,014	1961^
13	The Empire Strikes Back	Fox	$899,334,600	$290,475,067	1980^
14	Ben-Hur	MGM	$897,680,000	$74,000,000	1959
15	Avatar	Fox	$891,355,700	$760,507,625	2009^
16	Return of the Jedi	Fox	$861,584,200	$309,306,177	1983^
17	Jurassic Park	Uni.	$839,255,900	$402,453,882	1993^
18	Star Wars: Episode I - The Phantom Menace	Fox	$827,258,600	$474,544,677	1999^
19	The Lion King	BV	$816,581,200	$422,783,777	1994^
20	The Sting	Uni.	$816,548,600	$156,000,000	1973
21	Raiders of the Lost Ark	Par.	$811,058,000	$248,159,971	1981^
22	The Graduate	AVCO	$783,883,700	$104,945,305	1967^
23	Fantasia	Dis.	$760,678,200	$76,408,097	1941^
24	Jurassic World	Uni.	$724,090,700	$652,270,625	2015
25	The Godfather	Par.	$722,930,700	$134,966,411	1972^
26	Forrest Gump	Par.	$720,110,000	$330,252,182	1994^
27	Mary Poppins	Dis.	$716,145,500	$102,272,727	1964^
28	Grease	Par.	$705,037,900	$188,755,690	1978^
29	Marvel's The Avengers	BV	$704,231,900	$623,357,910	2012
30	Black Panther	BV	$699,613,337	2018	2012
31	Thunderball	UA	$685,168,000	$63,595,658	1965
32	The Dark Knight	WB	$682,085,700	$534,858,444	2008^
33	The Jungle Book	Dis.	$674,908,000	$141,843,612	1967^
34	Sleeping Beauty	Dis.	$665,712,700	$51,600,000	1959^
35	Avengers: Infinity War	BV	$664,346,211	2018	1959^
36	Ghostbusters	Col.	$651,951,300	$242,212,467	1984^
37	Shrek 2	DW	$650,826,500	$441,226,247	2004
38	Butch Cassidy and the Sundance Kid	Fox	$646,309,900	$102,308,889	1969
39	Love Story	Par.	$641,183,000	$106,397,186	1970
40	Spider-Man	Sony	$636,480,300	$403,706,375	2002
41	Independence Day	Fox	$634,502,900	$306,169,268	1996^
42	Home Alone	Fox	$620,445,300	$285,761,243	1990
43	Star Wars: The Last Jedi	BV	$619,169,000	$620,181,382	2017
44	Pinocchio	Dis.	$617,414,500	$84,254,167	1940^
45	Cleopatra (1963)	Fox	$615,400,500	$57,777,778	1963
46	Beverly Hills Cop	Par.	$615,094,200	$234,760,478	1984
47	Goldfinger	UA	$607,308,000	$51,081,062	1964
48	Airport	Uni.	$605,579,400	$100,489,151	1970
49	American Graffiti	Uni.	$601,942,900	$115,000,000	1973
50	The Robe	Fox	$599,563,600	$36,000,000	1953
51	Pirates of the Caribbean: Dead Man's Chest	BV	$591,995,900	$423,315,812	2006
52	Around the World in 80 Days	UA	$591,876,900	$42,000,000	1956
53	Bambi	RKO	$583,606,000	$102,247,150	1942^
54	Blazing Saddles	WB	$579,275,000	$119,601,481	1974^
55	Batman	WB	$576,664,300	$251,188,924	1989
56	The Bells of St. Mary's	RKO	$574,745,100	$21,333,333	1945
57	The Lord of the Rings: The Return of the King	NL	$564,619,600	$377,845,905	2003^
58	Finding Nemo	BV	$564,132,500	$380,843,261	2003^
59	The Towering Inferno	Fox	$562,201,100	$116,000,000	1974
60	Rogue One: A Star Wars Story	BV	$553,645,200	$532,177,324	2016
61	Cinderella (1950)	Dis.	$552,361,100	$93,141,149	1950^
62	Spider-Man 2	Sony	$551,054,100	$373,585,825	2004
63	My Fair Lady	WB	$549,600,000	$72,000,000	1964
64	The Greatest Show on Earth	Par.	$549,600,000	$36,000,000	1952
65	National Lampoon's Animal House	Uni.	$548,594,800	$141,600,000	1978^
66	The Passion of the Christ	NM	$546,896,400	$370,782,930	2004^
67	Star Wars: Episode III - Revenge of the Sith	Fox	$543,413,200	$380,270,577	2005^
